age,income,student,credit_rating,Buy_Computer
middle_age,low,yes,excellent,no
youth,medium,no,excellent,no
senior,medium,no,excellent,no
senior,high,yes,fair,no
middle_age,medium,yes,excellent,yes
youth,low,yes,excellent,yes
senior,low,yes,fair,no
youth,low,yes,excellent,yes
middle_age,medium,yes,fair,yes
youth,medium,yes,excellent,yes
youth,low,no,excellent,no
senior,high,no,excellent,yes
senior,high,no,excellent,yes
middle_age,low,no,fair,no
middle_age,medium,yes,excellent,yes
senior,medium,no,fair,no
middle_age,low,yes,excellent,no
senior,low,no,fair,no
middle_age,medium,no,excellent,yes
middle_age,low,yes,fair,no
senior,medium,no,excellent,no
middle_age,medium,no,excellent,yes
senior,low,no,excellent,no
youth,low,yes,fair,yes
senior,medium,yes,excellent,no
middle_age,high,yes,excellent,yes
youth,medium,yes,excellent,yes
youth,medium,yes,fair,yes
youth,medium,yes,excellent,yes
senior,medium,yes,fair,no
senior,medium,no,fair,no
senior,medium,yes,excellent,no
youth,high,yes,excellent,yes
middle_age,high,no,excellent,yes
middle_age,low,no,excellent,no
senior,low,no,excellent,no
middle_age,medium,no,excellent,yes
youth,low,no,excellent,no
youth,medium,yes,fair,yes
youth,low,yes,fair,yes
middle_age,high,yes,fair,yes
youth,medium,no,excellent,no
youth,low,no,excellent,no
senior,low,no,fair,no
senior,medium,no,excellent,no
youth,low,yes,excellent,yes
senior,low,no,fair,no
middle_age,high,no,fair,yes
youth,medium,yes,excellent,yes
middle_age,high,no,fair,yes
senior,high,no,fair,no
youth,medium,yes,excellent,yes
middle_age,low,no,fair,no
senior,high,yes,excellent,yes
youth,high,yes,fair,yes
senior,high,yes,fair,no
youth,low,no,excellent,no
middle_age,low,yes,excellent,no
senior,high,no,fair,no
middle_age,high,no,fair,yes
youth,low,no,fair,no
senior,low,yes,excellent,no
middle_age,medium,no,excellent,yes
senior,high,yes,excellent,yes
middle_age,low,yes,excellent,no
youth,high,no,fair,no
senior,high,yes,excellent,yes
middle_age,medium,no,excellent,yes
senior,low,no,fair,no
youth,low,yes,fair,yes
senior,medium,no,excellent,no
youth,high,yes,excellent,yes
youth,medium,no,excellent,no
middle_age,medium,yes,excellent,yes
youth,medium,yes,excellent,yes
senior,high,yes,fair,no
senior,medium,yes,excellent,no
senior,high,yes,fair,no
youth,low,no,excellent,no
middle_age,medium,no,fair,yes
middle_age,low,no,fair,no
senior,high,yes,fair,no
middle_age,high,yes,fair,yes
youth,low,yes,fair,yes
senior,medium,no,fair,no
middle_age,high,no,excellent,yes
senior,high,yes,excellent,yes
middle_age,medium,yes,excellent,yes
youth,high,yes,fair,yes
senior,high,no,fair,no
youth,high,yes,fair,yes
senior,medium,no,excellent,no
youth,low,no,excellent,no
senior,medium,no,excellent,no
senior,high,yes,fair,no
middle_age,medium,yes,excellent,yes
senior,high,yes,fair,no
youth,medium,no,excellent,no
senior,medium,no,excellent,no
youth,high,yes,fair,yes
youth,high,yes,fair,yes
senior,high,no,fair,no
senior,high,no,excellent,yes
youth,high,yes,fair,yes
senior,medium,yes,excellent,no
middle_age,high,no,fair,yes
youth,high,no,excellent,yes
middle_age,high,yes,excellent,yes
senior,high,yes,excellent,yes
senior,low,yes,fair,no
middle_age,high,no,fair,yes
senior,medium,no,fair,no
middle_age,medium,no,fair,yes
middle_age,low,no,excellent,no
senior,low,yes,fair,no
middle_age,medium,yes,excellent,yes
middle_age,low,yes,fair,no
youth,high,yes,fair,yes
youth,high,yes,fair,yes
youth,medium,no,excellent,no
middle_age,low,yes,fair,no
middle_age,low,yes,excellent,no
middle_age,medium,yes,fair,yes
middle_age,medium,yes,fair,yes
senior,medium,no,fair,no
youth,low,no,fair,no
youth,high,no,fair,no
senior,high,no,excellent,yes
senior,medium,no,excellent,no
senior,medium,yes,fair,no
senior,medium,no,excellent,no
middle_age,medium,yes,fair,yes
middle_age,low,no,excellent,no
senior,medium,no,excellent,no
senior,medium,no,excellent,no
middle_age,low,yes,fair,no
middle_age,high,yes,fair,yes
youth,medium,no,excellent,no
youth,high,no,fair,no
middle_age,medium,no,fair,yes
youth,medium,no,fair,no
youth,low,yes,excellent,yes
youth,high,yes,excellent,yes
senior,medium,no,excellent,no
middle_age,medium,no,excellent,yes
senior,high,no,excellent,yes
middle_age,high,yes,fair,yes
senior,high,no,excellent,yes
youth,medium,yes,excellent,yes
youth,high,no,excellent,yes
youth,high,no,fair,no
middle_age,medium,yes,excellent,yes
senior,low,no,fair,no
senior,high,yes,fair,no
middle_age,high,yes,fair,yes
middle_age,medium,yes,fair,yes
youth,low,yes,excellent,yes
senior,low,yes,excellent,no
senior,high,yes,excellent,yes
middle_age,low,yes,fair,no
senior,low,no,excellent,no
senior,low,no,fair,no
youth,high,no,fair,no
middle_age,high,yes,fair,yes
youth,high,yes,fair,yes
middle_age,low,no,excellent,no
middle_age,medium,yes,excellent,yes
middle_age,high,no,fair,yes
senior,medium,no,excellent,no
youth,high,yes,excellent,yes
senior,high,no,fair,no
middle_age,medium,yes,excellent,yes
middle_age,low,yes,excellent,no
middle_age,medium,yes,excellent,yes
youth,low,no,fair,no
youth,low,yes,excellent,yes
youth,high,no,excellent,yes
senior,medium,no,excellent,no
senior,medium,no,fair,no
youth,high,no,fair,no
youth,high,no,fair,no
middle_age,high,no,fair,yes
youth,high,yes,excellent,yes
senior,high,no,fair,no
middle_age,low,yes,excellent,no
youth,high,yes,excellent,yes
youth,medium,yes,excellent,yes
middle_age,medium,yes,excellent,yes
senior,high,yes,fair,no
senior,high,no,excellent,yes
middle_age,high,yes,fair,yes
youth,high,no,excellent,yes
senior,high,no,fair,no
middle_age,low,no,fair,no
middle_age,medium,no,fair,yes
youth,high,yes,excellent,yes
youth,low,no,excellent,no
senior,medium,yes,excellent,no
youth,high,yes,fair,yes
youth,low,no,fair,no
senior,medium,no,excellent,no
youth,high,no,fair,no
senior,low,yes,fair,no
middle_age,high,no,excellent,yes
senior,medium,yes,fair,no
middle_age,low,no,excellent,no
middle_age,high,no,fair,yes
middle_age,low,no,excellent,no
youth,high,yes,fair,yes
youth,low,no,excellent,no
youth,low,no,excellent,no
middle_age,medium,no,fair,yes
middle_age,high,yes,excellent,yes
senior,medium,yes,fair,no
youth,low,no,fair,no
middle_age,high,yes,excellent,yes
middle_age,high,yes,fair,yes
middle_age,medium,yes,fair,yes
middle_age,low,no,fair,no
senior,high,no,fair,no
middle_age,high,yes,excellent,yes
youth,low,no,fair,no
youth,high,no,fair,no
senior,medium,no,fair,no
senior,low,yes,excellent,no
middle_age,low,yes,excellent,no
youth,high,yes,excellent,yes
middle_age,low,yes,fair,no
senior,high,no,fair,no
middle_age,medium,yes,excellent,yes
middle_age,low,yes,excellent,no
youth,high,yes,excellent,yes
youth,low,yes,excellent,yes
senior,medium,no,fair,no
youth,medium,no,fair,no
senior,medium,yes,excellent,no
middle_age,low,yes,fair,no
youth,high,yes,excellent,yes
youth,low,yes,excellent,yes
youth,high,yes,fair,yes
middle_age,medium,yes,fair,yes
middle_age,high,no,excellent,yes
middle_age,medium,no,fair,yes
middle_age,medium,no,excellent,yes
middle_age,medium,no,fair,yes
middle_age,high,yes,excellent,yes
senior,high,yes,fair,no
senior,low,yes,fair,no
youth,low,no,excellent,no
middle_age,medium,no,fair,yes
youth,medium,no,excellent,no
senior,medium,yes,fair,no
youth,high,no,excellent,yes
middle_age,medium,yes,excellent,yes
senior,high,yes,fair,no
youth,medium,yes,excellent,yes
senior,medium,no,fair,no
youth,high,yes,excellent,yes
youth,medium,yes,fair,yes
middle_age,medium,yes,fair,yes
senior,low,yes,fair,no
youth,low,no,fair,no
senior,high,no,excellent,yes
youth,low,yes,excellent,yes
middle_age,high,no,fair,yes
youth,medium,no,excellent,no
senior,medium,yes,fair,no
youth,low,no,excellent,no
middle_age,low,no,fair,no
senior,medium,no,fair,no
youth,low,no,excellent,no
youth,medium,yes,excellent,yes
middle_age,low,no,fair,no
youth,medium,no,excellent,no
middle_age,high,no,fair,yes
senior,medium,yes,fair,no
senior,medium,yes,excellent,no
senior,low,no,excellent,no
middle_age,low,no,fair,no
middle_age,low,yes,fair,no
middle_age,medium,yes,excellent,yes
youth,low,yes,fair,yes
senior,high,yes,fair,no
senior,low,yes,fair,no
youth,low,yes,excellent,yes
senior,high,yes,excellent,yes
senior,medium,yes,fair,no
middle_age,medium,yes,excellent,yes
youth,high,no,fair,no
youth,low,no,fair,no
senior,high,yes,fair,no
youth,low,yes,fair,yes
senior,medium,yes,fair,no
middle_age,high,no,fair,yes
youth,medium,yes,fair,yes
middle_age,low,no,excellent,no
middle_age,medium,yes,fair,yes
youth,high,no,excellent,yes
youth,low,yes,fair,yes
senior,medium,yes,excellent,no
